
Training Data Shape: torch.Size([100, 1]), torch.Size([100, 1])

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (16, 16) ---

Iteration 66: New best loss = 0.14333896338939667
Iteration 67: New best loss = 0.14306190609931946
Iteration 68: New best loss = 0.14291414618492126
Iteration 69: New best loss = 0.14275960624217987
Iteration 70: New best loss = 0.1410725712776184
Iteration 71: New best loss = 0.13712669909000397
Iteration 72: New best loss = 0.13577184081077576
Iteration 73: New best loss = 0.1346593052148819
Iteration 74: New best loss = 0.13386739790439606
Iteration 75: New best loss = 0.13295823335647583
Iteration 76: New best loss = 0.1323769986629486
Iteration 77: New best loss = 0.13177435100078583
Iteration 78: New best loss = 0.13133254647254944
Iteration 79: New best loss = 0.13092577457427979
Iteration 80: New best loss = 0.1304745376110077
Iteration 81: New best loss = 0.13000841438770294
Iteration 82: New best loss = 0.12974253296852112
Iteration 83: New best loss = 0.12884731590747833
Iteration 84: New best loss = 0.12796291708946228
Iteration 85: New best loss = 0.1270586997270584
Iteration 86: New best loss = 0.12425465881824493
Iteration 87: New best loss = 0.1238926574587822
Iteration 88: New best loss = 0.12340180575847626
Iteration 89: New best loss = 0.12242915481328964
Iteration 90: New best loss = 0.11233240365982056
Iteration 91: New best loss = 0.10421391576528549
Iteration 92: New best loss = 0.09984762966632843
Iteration 93: New best loss = 0.09611411392688751
Iteration 94: New best loss = 0.09325103461742401
Iteration 95: New best loss = 0.09136666357517242
Iteration 96: New best loss = 0.08999300003051758
Iteration 97: New best loss = 0.08781491219997406
Iteration 98: New best loss = 0.08500196784734726
Iteration 99: New best loss = 0.08345117419958115
Iteration 100: New best loss = 0.08175134658813477
Iteration 100: Best current loss = 0.08175134658813477
Search completed after 100 iterations.
Best loss found: 0.08175134658813477
Total training time: 94.4383 seconds

--- TEST NAME: sine_parameter_scaling 	 Single Kernel 	 Hidden Sizes: (128, 128) ---

Iteration 2: New best loss = 0.547356128692627
Iteration 3: New best loss = 0.5101689696311951
Iteration 4: New best loss = 0.47790682315826416
Iteration 5: New best loss = 0.4367716312408447
Iteration 6: New best loss = 0.41563624143600464
Iteration 7: New best loss = 0.38093945384025574
Iteration 8: New best loss = 0.35991910099983215
Iteration 9: New best loss = 0.3304481506347656
Iteration 10: New best loss = 0.3167492151260376
Iteration 11: New best loss = 0.2934546172618866
Iteration 12: New best loss = 0.28001075983047485
Iteration 13: New best loss = 0.2632538080215454
Iteration 14: New best loss = 0.25387582182884216
Iteration 15: New best loss = 0.24488352239131927
Iteration 16: New best loss = 0.23338936269283295
Iteration 17: New best loss = 0.22923006117343903
Iteration 18: New best loss = 0.22356632351875305
Iteration 19: New best loss = 0.21584346890449524
Iteration 20: New best loss = 0.2069554328918457
Iteration 21: New best loss = 0.20305481553077698
Iteration 22: New best loss = 0.1997224986553192
Iteration 23: New best loss = 0.1964729279279709
Iteration 24: New best loss = 0.1931001991033554
Iteration 25: New best loss = 0.19018632173538208
Iteration 26: New best loss = 0.1880161315202713
Iteration 27: New best loss = 0.18654195964336395
Iteration 28: New best loss = 0.18444295227527618
Iteration 29: New best loss = 0.1813497543334961
Iteration 30: New best loss = 0.17909173667430878
Iteration 31: New best loss = 0.17746679484844208
Iteration 32: New best loss = 0.1762920618057251
Iteration 33: New best loss = 0.17496798932552338
Iteration 34: New best loss = 0.17402535676956177
Iteration 35: New best loss = 0.1735016405582428
Iteration 36: New best loss = 0.17157763242721558
Iteration 37: New best loss = 0.1693241447210312
Iteration 38: New best loss = 0.1680229753255844
Iteration 39: New best loss = 0.16738183796405792
Iteration 40: New best loss = 0.16679517924785614
Iteration 41: New best loss = 0.16635912656784058
Iteration 42: New best loss = 0.16547809541225433
Iteration 43: New best loss = 0.16498973965644836
Iteration 44: New best loss = 0.1643320471048355
Iteration 45: New best loss = 0.16408634185791016
Iteration 46: New best loss = 0.16339831054210663
Iteration 47: New best loss = 0.1630062460899353
Iteration 48: New best loss = 0.1622830182313919
Iteration 49: New best loss = 0.161320298910141
Iteration 50: New best loss = 0.16047675907611847
Iteration 51: New best loss = 0.15981628000736237
Iteration 52: New best loss = 0.1595548391342163
Iteration 53: New best loss = 0.1593821495771408
Iteration 54: New best loss = 0.15928252041339874
Iteration 55: New best loss = 0.15750502049922943
Iteration 56: New best loss = 0.15676145255565643
Iteration 57: New best loss = 0.1566949337720871
Iteration 58: New best loss = 0.15552133321762085
Iteration 59: New best loss = 0.15492379665374756
Iteration 60: New best loss = 0.1540529578924179
Iteration 61: New best loss = 0.1527148336172104
Iteration 62: New best loss = 0.15210245549678802
Iteration 63: New best loss = 0.15207640826702118
Iteration 65: New best loss = 0.15179046988487244
Iteration 66: New best loss = 0.1510975956916809
Iteration 67: New best loss = 0.15033012628555298
Iteration 68: New best loss = 0.1500653773546219
Iteration 69: New best loss = 0.14987920224666595
Iteration 70: New best loss = 0.14978063106536865
Iteration 72: New best loss = 0.14967462420463562
Iteration 73: New best loss = 0.14926069974899292
Iteration 74: New best loss = 0.14913658797740936
Iteration 75: New best loss = 0.14861232042312622
Iteration 76: New best loss = 0.14784246683120728
Iteration 77: New best loss = 0.14749020338058472
Iteration 78: New best loss = 0.14724241197109222
Iteration 79: New best loss = 0.1468926966190338
Iteration 80: New best loss = 0.1465432196855545
Iteration 81: New best loss = 0.14644794166088104
Iteration 82: New best loss = 0.146047905087471
Iteration 83: New best loss = 0.14560459554195404
Iteration 84: New best loss = 0.14531822502613068
Iteration 85: New best loss = 0.14402323961257935
Iteration 86: New best loss = 0.1420264095067978
Iteration 87: New best loss = 0.14149555563926697
Iteration 88: New best loss = 0.14148378372192383
Iteration 89: New best loss = 0.1414380520582199
Iteration 90: New best loss = 0.13957864046096802
Iteration 91: New best loss = 0.13911421597003937
Iteration 92: New best loss = 0.1387939304113388
